;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Código da Escola;Nome da Escola;Loclização;Unidade da Federação;Município
;;;;
;;;;
PK_COD_ENTIDADE;Nome_Escola;Localizacao;UF;Municipio
41001826;EURIPEDES PREGIDIO E M PROF EI EF;Urbana;Paraná;PARANACITY
41001834;LIGIA BORTOLETTO E M EI EF;Urbana;Paraná;PARANACITY
41001850;MUNDO FELIZ E EI EF MOD ED ESP;Urbana;Paraná;SANTA TEREZA DO OESTE
41001869;ANTONIO TORTATO C E EM N;Urbana;Paraná;PARANACITY
41001877;SANTOS DUMONT C E EF M;Urbana;Paraná;PARANACITY
41001893;LYSIMACO F DA COSTA C E EF M;Urbana;Paraná;PARANAPOEMA
41001907;MARIA E A IWASSE E M PROFA EI EF;Urbana;Paraná;PARANAPOEMA
41001940;ADELIA ROSSI ARNALDI C E EF M;Urbana;Paraná;PARANAVAI
41001966;ANA FRANCISCA DE ANDRADE E R M EI EF;Rural;Paraná;PARANAVAI
41002024;BENTO M DA R NETO C E PROF EF M PROFIS;Urbana;Paraná;PARANAVAI
41002032;CARMEM LUCIA R LOPES E EI EF MOD ED ESP;Urbana;Paraná;PARANAVAI
41002067;CLEMENTE NIEHUES E M EI EF;Urbana;Paraná;PARANAVAI
41002083;CURITIBA E E EF;Urbana;Paraná;PARANAVAI
41002091;DACIA F FORTES E M EI EF;Urbana;Paraná;PARANAVAI
41002113;ELZA GRASSIOTTO CASELLI E M PROFA EF;Urbana;Paraná;PARANAVAI
41002130;ENIRA MORAES RIBEIRO C E EF M PROFIS;Urbana;Paraná;PARANAVAI
41002148;FLAUZINA DIAS VIEGAS C E EF M;Urbana;Paraná;PARANAVAI
41002164;ESCOLA DE EDUCACAO BASICA FUNDACAO BRADESCO;Urbana;Paraná;PARANAVAI
41002172;GETULIO VARGAS E M EI EF;Urbana;Paraná;PARANAVAI
41002180;HERMETO BOTELHO E M EI EF;Urbana;Paraná;PARANAVAI
41002202;INTENTUS ESCOLA- ED INF ENS FUNDAMENTAL;Urbana;Paraná;PARANAVAI
41002210;ISBELA DE SOUZA RIBEIRO FELIPPE C M E I;Urbana;Paraná;PARANAVAI
41002229;EDITH EBINER ECKERT E R M PROFA EI EF;Rural;Paraná;PARANAVAI
41002237;JAYME CANET E M EI EF;Urbana;Paraná;PARANAVAI
41002261;JOSE DE ANCHIETA C E EF M;Urbana;Paraná;PARANAVAI
41002296;LEONEL FRANCA C E EF M;Urbana;Paraná;PARANAVAI
41002318;MANDIOCABA E E DE EF;Urbana;Paraná;PARANAVAI
41002326;MARINS A DE CAMARGO C E DR EF M PROFIS;Urbana;Paraná;PARANAVAI
41002334;NEUSA PEREIRA BRAGA E M EI EF;Urbana;Paraná;PARANAVAI
41002342;NEWTON GUIMARAES C E E B J A EF M;Urbana;Paraná;PARANAVAI
41002369;COLEGIO PAROQUIAL NOSSA SENHORA DO CARMO;Urbana;Paraná;PARANAVAI
41002377;NOVA AURORA ESC RUR MUL ENS FUND;Rural;Paraná;PARANAVAI
41002415;PARANAVAI C E DE EF M N PROFIS;Urbana;Paraná;PARANAVAI
41002440;PEDRO REAL E M PROF EI EF;Urbana;Paraná;PARANAVAI
41002580;SANTOS DUMONT E M EI EF;Urbana;Paraná;PARANAVAI
41002610;SAO JUDAS TADEU E R M E FUND;Rural;Paraná;PARANAVAI
41002628;SAO VICENTE DE PAULO EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;Urbana;Paraná;PARANAVAI
41002636;SILVIO VIDAL C E EF M;Urbana;Paraná;PARANAVAI
41002687;ARTHUR DA C SILVA C E MAL E M N;Urbana;Paraná;PLANALTINA DO PARANA
41002709;COELHO NETO ESC RUR MUL;Rural;Paraná;PLANALTINA DO PARANA
41002717;ENEDINO CAETANO E M FR EI EF;Urbana;Paraná;PLANALTINA DO PARANA
41002873;MANOEL ROMAO NETTO C E EF M;Urbana;Paraná;PORTO RICO
41002920;PORTO RICO E M EI EF;Urbana;Paraná;PORTO RICO
41002954;BRASILIO DE A FILHO E M EI EF;Urbana;Paraná;QUERENCIA DO NORTE
41002962;CASTRO ALVES C E EF M;Urbana;Paraná;QUERENCIA DO NORTE
41002970;CHICO MENDES E C M EI EF;Rural;Paraná;QUERENCIA DO NORTE
41003012;GILBERTO CONCEICAO BORSATTO E M EF;Urbana;Paraná;QUERENCIA DO NORTE
41003020;HUMBERTO DE CAMPOS C E EF M N PROFIS;Urbana;Paraná;QUERENCIA DO NORTE
41003039;JOSE FRANCISCO COSTA E M EI EF;Urbana;Paraná;QUERENCIA DO NORTE
