;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Código da Escola;Nome da Escola;Loclização;Unidade da Federação;Município
;;;;
;;;;
PK_COD_ENTIDADE;Nome_Escola;Localizacao;UF;Municipio
41364988;ANTONIETA TRINDADE CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41364996;ARACY SOARES SANTOS CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365003;BASE FUNDAMENTAL CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365020;ANTONIO AUGUSTO FARIA CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365038;ALAIDE FAUSTO DE SOUZA CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365046;NISSIA ROCHA CABRAL-CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365054;NOVO AMPARO CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365070;EURIPEDES BARSANULFO - ESC ESP EDUCANDARIO - EDUC INF E ENS FUND;Urbana;Paraná;LONDRINA
41365089;DOCE INFANCIA C M E I;Urbana;Paraná;JURANDA
41365097;MENINO JESUS C M E I;Urbana;Paraná;JURANDA
41365100;MARLI MARQUES AGOSTINHO C M E I;Urbana;Paraná;LONDRINA
41365119;JURANDA C M E I;Urbana;Paraná;JURANDA
41365135;EVANGELICA DE LONDRINA ESC ED INF E ENS FUND;Urbana;Paraná;LONDRINA
41365143;ESTRELINHA MAGICA- ESCOLA EDUC INF E ENS FUND SS LTDA-ME;Urbana;Paraná;LONDRINA
41365151;DESCOBRINDO O SABER CENTRO EDUC INF;Urbana;Paraná;LONDRINA
41365178;DOM QUIXOTE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;Urbana;Paraná;LONDRINA
41365186;AINZARA ROSSI SALLES C M E I;Urbana;Paraná;CARLOPOLIS
41365194;C E I TIA FLOR;Urbana;Paraná;LONDRINA
41365208;DURVALINA P DE O ASSIS C M E I;Urbana;Paraná;LONDRINA
41365216;KALIN YOUSSEF YOUSSEF C M E I;Urbana;Paraná;LONDRINA
41365232;MALVINA P PEDRIALLI C M E I;Urbana;Paraná;LONDRINA
41365240;FRANCISCO Q ORTEGA C M E I;Urbana;Paraná;LONDRINA
41365259;VALERIA VERONESI C E I;Urbana;Paraná;LONDRINA
41365267;CONJ HAB FARID LIBOS E E E FUND;Urbana;Paraná;LONDRINA
41365275;FLAVIA CRISTINA E EI EF MOD ED ESP;Urbana;Paraná;LONDRINA
41365291;CENTRO DE EDUC INFANTIL DRº JORGE DIB ABUSSAFI;Urbana;Paraná;LONDRINA
41365305;CENTRO DE EDUCACAO INFANTIL TIA LANA;Urbana;Paraná;LONDRINA
41365313;CENTRO DE EDUCACAO INFANTIL MARIA HELENA DE CASTRO COSTA JANUARIO I;Urbana;Paraná;LONDRINA
41365321;LINDALVA SILVA BASSETTO CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365330;JUREMA NEVES CANZIANI CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365348;HELENA OMETTO TORRES CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365356;GUIOMAR MOREIRA CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365364;DOM GERALDO FERNANDES CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365372;CENTRO DE EDUCACAO INFANTIL ESPACO CRIANCA;Urbana;Paraná;LONDRINA
41365380;REGINA BARROS CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365399;SAO JOSE CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365402;ABDIAS DO NASCIMENTO CENTRO MUNICIPAL DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365429;PEQUENA CASA DE NAZARE CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365437;ASSOC ASSIST SOCIAL EVANG CARAMBEI CEI BETEL;Urbana;Paraná;CARAMBEI
41365445;BETANIA C M E I;Urbana;Paraná;CARAMBEI
41365453;CENTRO DE EDUCACAO INFANTIL PADRE BOAVENTURA;Urbana;Paraná;LONDRINA
41365461;ABAC CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365470;PASTOR FRANCISCO SEIXAS CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365488;SAO JUDAS TADEU C M E I;Urbana;Paraná;CARAMBEI
41365496;CENTRO DE EDUCACAO INFANTIL MILTON GAVETTI;Urbana;Paraná;LONDRINA
41365500;MARABA CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365518;CENTRO DE EDUCACAO INFANTIL MARIA HELENA DE CASTRO COSTA JANUARIO II;Urbana;Paraná;LONDRINA
41365526;GOVERNADOR JOSE RICHA CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;LONDRINA
41365534;LEONY PIOLI C M E I;Urbana;Paraná;RIO BRANCO DO SUL
41365542;ANJO DOURADO ESC EDUC INF ENS FUND;Urbana;Paraná;SAO PEDRO DO IVAI
41365569;MENINO JESUS C M E I;Urbana;Paraná;MARIA HELENA
41365577;CEMIC - CENT DE EST DO MENOR E INT COMUNIDADE;Urbana;Paraná;MARILUZ
41365585;BICHINHO DA MACA C M E I;Urbana;Paraná;ALTO PARAISO
41365593;GENTE INOCENTE CENTRO MUNICIPAL DE EDUCACAO INFANTIL;Urbana;Paraná;QUINTA DO SOL
41365607;MENINO JESUS CRECHE;Urbana;Paraná;ARARUNA
41365615;TEREZA PEREIRA TEIXEIRA CRECHE;Rural;Paraná;ARARUNA
41365623;MARIA MADALENA C M E I;Urbana;Paraná;ARARUNA
41365640;SONHO REAL C M E I;Urbana;Paraná;GUARANIACU
41365658;FERNANDA SALVADOR C M E I;Urbana;Paraná;GUARANIACU
41365666;GREICE KELLI C M E I;Urbana;Paraná;GUARANIACU
41365674;COHAPAR C M E I;Urbana;Paraná;GUARANIACU
41365682;BOM PASTOR C M E I;Urbana;Paraná;GUARANIACU
41365690;PEQUENO POLEGAR C M E I;Urbana;Paraná;COLORADO
41365704;NOSSA SENHORA APARECIDA C M E I;Urbana;Paraná;COLORADO
41365712;COMECINHO DE VIDA C M E I;Urbana;Paraná;COLORADO
41365720;PINGUINHO DE GENTE C M E I;Urbana;Paraná;COLORADO
41365739;CENTRO DE EDUCACAO INFANTIL TURMA DO MICKEY;Urbana;Paraná;COLORADO
41365747;ARABE BRASILEIRA E EI EF M;Urbana;Paraná;FOZ DO IGUACU
41365755;CRUZEIRO DO NORTE C M E I;Urbana;Paraná;URAI
41365763;ETELVINA M D DA ROCHA C M E I PROFA;Urbana;Paraná;URAI
41365771;MENINO JESUS C M E I;Urbana;Paraná;TERRA RICA
41365780;ANJO DA GUARDA C E I;Urbana;Paraná;TERRA RICA
41365798;CRIANCA FELIZ C M E I;Urbana;Paraná;TERRA RICA
41365801;CUSTODIO S FERNANDES C M E I;Urbana;Paraná;TERRA RICA
41365810;ANIBAL KHURY NETO E M EI EF;Urbana;Paraná;PORECATU
41365828;GIRASSOL C M E I;Urbana;Paraná;RENASCENCA
41365836;MENINO JESUS LAR ESC;Urbana;Paraná;FLORAI
41365844;IMACULADA CONCEICAO RECANTO DE MENORES;Urbana;Paraná;FLORAI
41365852;IRENO ALVES DOS SANTOS C E EF M;Rural;Paraná;RIO BONITO DO IGUACU
41365860;SEBASTIAO E DA COSTA E E EF;Rural;Paraná;RIO BONITO DO IGUACU
41365879;IRACI S STROZAK C E DO C EI EF M N;Rural;Paraná;RIO BONITO DO IGUACU
41365887;DULCE E R M IRMA EI EF;Rural;Paraná;RIO BONITO DO IGUACU
41365895;CHICO MENDES E R M EI EF;Rural;Paraná;RIO BONITO DO IGUACU
41365909;HERBERT DE SOUZA E R M EI EF;Rural;Paraná;RIO BONITO DO IGUACU
41365917;SEVERINO DA SILVA E R M EI EF;Rural;Paraná;RIO BONITO DO IGUACU
41365925;PAULO FREIRE E R M EI EF;Rural;Paraná;RIO BONITO DO IGUACU
41365933;MENINO JESUS CRECHE MUNICIPAL;Rural;Paraná;XAMBRE
41365968;CENTRO MUNICIPAL DE EDUCACAO INFANTIL SAO JOSE;Urbana;Paraná;XAMBRE
41366000;CLAUDIO IVANTES C M E I;Urbana;Paraná;TAPIRA
41366026;NOSSA SENHORA DO ROCIO CRECHE MUL;Rural;Paraná;TAPIRA
41366034;TEREZINHA D R THOMAZINHO C M E I PROFA;Urbana;Paraná;VERA CRUZ DO OESTE
41366042;CENTRO DE EDUCACAO INFANTIL PAULINA RIBEIRO;Urbana;Paraná;CAMPINA GRANDE DO SUL
41366050;JOAO MARIA DE BARROS C E PREF EF M;Urbana;Paraná;CAMPINA GRANDE DO SUL
41366069;MARCELINO BERALDO E EI EF M;Urbana;Paraná;CAMPINA GRANDE DO SUL
41366077;ILHA DO SABER E M EI EF MOD ED ESP;Urbana;Paraná;PONTAL DO PARANA
41366085;CORRENTE DO AMOR C M E I;Urbana;Paraná;SARANDI
41366093;ADELAIDE D TONON C M E I;Urbana;Paraná;SARANDI
41366107;PEDACINHO DO CEU C M E I;Urbana;Paraná;SARANDI
41366115;MENINO JESUS C M E I;Urbana;Paraná;SARANDI
41366123;ASSISTENCIA BETEL;Urbana;Paraná;SARANDI
41366131;VALE AZUL C M E I;Urbana;Paraná;SARANDI
41366140;CASULO C M EI;Urbana;Paraná;NOVA ESPERANCA
41366158;BERNIEIRO M LAURIA C M E I MONS;Urbana;Paraná;NOVA ESPERANCA
41366166;CRISTO REI C M E I;Urbana;Paraná;SARANDI
41366174;AMAS C E I;Urbana;Paraná;SARANDI
41366182;JULIA V SORDI C M E I;Urbana;Paraná;SARANDI
41366190;MOISES LUPION E M GOV EI EF;Urbana;Paraná;GUARATUBA
41366204;LEA GERMANA MONTEIRO E E EF;Urbana;Paraná;GUARATUBA
41366212;JOAQUIM G DE MIRANDA E M EI EF;Rural;Paraná;GUARATUBA
41366220;LINDOLFO F DE AVILA E M EI EF;Urbana;Paraná;NOVA CANTU
41366239;CRECHE NOSSA SENHORA DE FATIMA;Urbana;Paraná;NOVA CANTU
41366255;ARTEMOCAO E EI EF;Urbana;Paraná;GUARAPUAVA
41366263;SANTA TERESINHA DO M JESUS E EI EF;Urbana;Paraná;GUARAPUAVA
41366271;TREM DA ALEGRIA CTRO EDUC INF;Urbana;Paraná;GUARAPUAVA
41366280;DJALMA P DANTAS C M E I;Urbana;Paraná;CORNELIO PROCOPIO
41366298;ANJO GABRIEL C M E I;Urbana;Paraná;CORNELIO PROCOPIO
41366310;EMAUS C E I;Urbana;Paraná;CORNELIO PROCOPIO
41366352;PEQUENO MUNDO E EI EF;Urbana;Paraná;PARANAGUA
41366360;PETER PAN E EI EF;Urbana;Paraná;PARANAGUA
41366379;CIRANDINHA C M E I;Urbana;Paraná;PORTO RICO
41366395;MAE DOLORES C M E I;Urbana;Paraná;PEABIRU
41366409;ESCOLA AGATA EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;Urbana;Paraná;PEABIRU
41366417;ARCO IRIS E EI EF;Urbana;Paraná;PARANAGUA
41366425;FAROL DO ENSINO - CTRO EDUC INF;Urbana;Paraná;PARANAGUA
41366433;SANTA ANNA E EI EF;Urbana;Paraná;PARANAGUA
41366441;EVANGELICA MONTE SIAO E EI EF;Urbana;Paraná;PARANAGUA
41366450;CENTRO MUNICIPAL DE EDUCACAO INFANTIL - CANTINHO DO AMOR;Urbana;Paraná;SANTA INES
41366468;CENTRO MUNICIPAL DE EDUCACAO INFANTIL - BOM MENINO;Urbana;Paraná;SANTA INES
41366476;CRIANCA FELIZ C M E I;Urbana;Paraná;CRUZMALTINA
41366484;CANTINHO FELIZ C M E I;Urbana;Paraná;GODOY MOREIRA
41366492;GODOY MOREIRA E EI EF MOD ED ESP;Urbana;Paraná;GODOY MOREIRA
41366506;UNIAO DA M E DE PARANAGUA E DA EI EF;Urbana;Paraná;PARANAGUA
41366514;LUSO BRASILEIRO C EI EF M;Urbana;Paraná;PARANAGUA
41366522;EVANGELICA JERUSALEM C EI EF M;Urbana;Paraná;PARANAGUA
41366530;MILENA BONFIM CENTRO MUL DE ED INF;Urbana;Paraná;PARANAGUA
41366549;PINDOTY E E I EF;Rural;Paraná;PARANAGUA
41366581;TIA SANDRA E EI EF;Urbana;Paraná;PARANAGUA
41366611;MARIA DE L R MOROZOWSKI C E PROF EF M;Urbana;Paraná;PARANAGUA
41366620;VIDAL VANHONI C E PROF EF M;Urbana;Paraná;PARANAGUA
41366638;CRECHE MUNICIPAL MAMAE FELIZ;Urbana;Paraná;SAO JOAO DO IVAI
41366646;CRECHE MUINICIPAL JARDIM DAS CRIANCAS;Urbana;Paraná;SAO JOAO DO IVAI
41366654;CRIANCA FELIZ C M E I;Urbana;Paraná;SAO JOAO DO IVAI
41366662;CRECHE MUNICIPAL PINGO DE GENTE;Urbana;Paraná;SAO JOAO DO IVAI
41366670;FRANCISCA M DE JESUS C M E I;Urbana;Paraná;JABOTI
41366689;MARIA C DE OLIVEIRA E EI EF MOD ED ESP;Urbana;Paraná;JABOTI
41366700;RECANTO FELIZ C M E I;Urbana;Paraná;PEROBAL
41366727;HANA YAMAKAWA CENTRO MUN EDUC INF;Urbana;Paraná;AMAPORA
41366735;MARIA DE FATIMA L SOUZA C MUN ED INF;Urbana;Paraná;AMAPORA
41366743;CENTRO C M E I;Urbana;Paraná;ARAUCARIA
41366751;COSTEIRA C M E I;Urbana;Paraná;ARAUCARIA
41366760;BARIGUI C M E I;Urbana;Paraná;ARAUCARIA
41366778;AURORA LOPES WERNICK C M E I;Urbana;Paraná;ARAUCARIA
41366786;TINGUIS C M E I;Urbana;Paraná;ARAUCARIA
41366794;SAO FCO DE ASSIS C M E I;Urbana;Paraná;ARAUCARIA
41366808;PEQUIM C M E I;Urbana;Paraná;ARAUCARIA
41366816;MANOEL BANDEIRA C M E I;Urbana;Paraná;ARAUCARIA
41366824;IPES C M E I;Urbana;Paraná;ARAUCARIA
41366832;BELA VISTA C M E I;Urbana;Paraná;ARAUCARIA
41366840;IGUACU C M E I;Urbana;Paraná;ARAUCARIA
41366859;IGUATEMI C M E I;Urbana;Paraná;ARAUCARIA
41366867;DALLA TORRE C M E I;Urbana;Paraná;ARAUCARIA
41366875;CAMPINA DA BARRA C M E I;Urbana;Paraná;ARAUCARIA
41366883;CALIFORNIA C M E I;Urbana;Paraná;ARAUCARIA
41366891;INDUSTRIAL C M E I;Urbana;Paraná;ARAUCARIA
41366905;TINDIQUERA C M E I;Urbana;Paraná;ARAUCARIA
41366913;MARANHAO C M E I;Urbana;Paraná;ARAUCARIA
41366921;ESTACAO C M E I;Urbana;Paraná;ARAUCARIA
41366930;VILA ANGELICA C M E I;Urbana;Paraná;ARAUCARIA
41366948;TUPY C M E I;Urbana;Paraná;ARAUCARIA
41366956;GUAJUVIRA DE BAIXO C M E I;Rural;Paraná;ARAUCARIA
41366964;ANA MARIA V KAVA C E C PROFA EF M;Rural;Paraná;ARAUCARIA
41366972;EUFRAUZINA M DE JESUS C M E I;Urbana;Paraná;CAMBE
41366980;AMABILE F BOSCOLO CENTRO DE ED INFANTIL;Urbana;Paraná;CAMBE
41366999;ROSA RAMINELLI DE OLIVEIRA CTRO ED INF;Urbana;Paraná;CAMBE
41367006;WALDOMIRO M GOMES CENTRO ED INF;Urbana;Paraná;CAMBE
41367014;SAO JOAO DA ESCOCIA CTRO EDUC INF;Urbana;Paraná;CAMBE
41367022;SONHO ENCANTADO C M E I;Urbana;Paraná;GOIOXIM
41367030;GUIMARAES JORGE C M E I MONS;Urbana;Paraná;SAO JORGE D OESTE
41367049;INSTITUICAO FILANTROPICA SERGIUS ERDELYI;Rural;Paraná;TIJUCAS DO SUL
41367057;TIO JANGO PRE ESC MUN EI;Urbana;Paraná;TIJUCAS DO SUL
41367065;MARIO QUINTANA E EI EF MOD ED ESP;Urbana;Paraná;TIJUCAS DO SUL
41367073;BRANCA DE NEVE C M E I;Urbana;Paraná;TIJUCAS DO SUL
41367081;JOAO GIMENI C M E I;Urbana;Paraná;CALIFORNIA
41367090;VOVO ZAIA C M E I;Urbana;Paraná;CALIFORNIA
41367103;PINHAL GRANDE C E EF M;Rural;Paraná;LARANJAL
41367111;CAMINHOS DA ESPERANCA C M E I;Urbana;Paraná;LARANJAL
41367120;CENTRO MUNICIPAL DE EDUCACAO INFANTIL CRIANCA FELIZ;Urbana;Paraná;RESERVA DO IGUACU
41367138;CRECHE MUNICIPAL ANJO DA GUARDA;Urbana;Paraná;RESERVA DO IGUACU
41367146;MONTEIRO LOBATO E M EI EF;Urbana;Paraná;RESERVA DO IGUACU
41367154;BOM JESUS C M E I;Urbana;Paraná;RANCHO ALEGRE D OESTE
41367162;MOVIMENTO DE BEM ESTAR SOCIAL KOLPING;Urbana;Paraná;CONSELHEIRO MAIRINCK
41367170;ESTRELA DA VIDA E EI EF MOD ED ESP;Urbana;Paraná;SABAUDIA
41367189;BALAO MAGICO C M E I;Urbana;Paraná;JANIOPOLIS
41367197;REINO ENCANTADO CENTRO MUN EDUC INF;Urbana;Paraná;JANIOPOLIS
41367219;MARCELO AP DA SILVA E EI EF MOD ESP;Urbana;Paraná;JANIOPOLIS
41367227;MENINO JESUS C M E I;Urbana;Paraná;JANIOPOLIS
41367235;DEOMIR ROSSI FILHO E M EI EF;Urbana;Paraná;NOVA PRATA DO IGUACU
41367243;CRECHE MUNICIPAL PORTO CAMARGO;Urbana;Paraná;ICARAIMA
41367260;CENTRO MUNICIPAL DE EDUCACAO INFANTIL ARCO IRIS;Urbana;Paraná;ICARAIMA
41367278;CENTRO MUN DE EDUC INF O PEQUENO POLEGAR;Urbana;Paraná;MARECHAL CANDIDO RONDON
41367286;ESCOLA RAIO DE LUZ ED INFANTIL E ENS FUNDAMENTAL;Urbana;Paraná;LAPA
41367294;TIO MILTON C M E I;Urbana;Paraná;PIEN
41367308;TIA NENA C M E I;Urbana;Paraná;PIEN
41367316;DONA INEZ C M E I;Urbana;Paraná;TIBAGI
41367324;DONA MATHILDE C M E I;Urbana;Paraná;TIBAGI
41367332;ANJO DA GUARDA C M E I;Urbana;Paraná;SANTA AMELIA
41367340;CENTRO MUNICIPAL DE EDUCACAO INFANTIL SANTA MARIA DE VILA GANDHI;Urbana;Paraná;PRIMEIRO DE MAIO
41367359;BALAO MAGICO C M E I;Urbana;Paraná;CAPANEMA
41367367;SONHO MEU CENTRO DE EDUC INF;Urbana;Paraná;CAPANEMA
41367375;PINGO DE GENTE C M E I;Urbana;Paraná;CAPANEMA
41367383;CANTINHO DOURADO C M E I;Urbana;Paraná;CAPANEMA
41367391;PEQUENO PRINCIPE C M E I;Urbana;Paraná;CAPANEMA
41367413;ARNALDO FAIVRO BUSATO CRECHE;Urbana;Paraná;ALTONIA
41367421;DONA MARIA PARAIBA - CENTRO DE CONVIVENCIA INFANTIL- CRECHE;Urbana;Paraná;ALTONIA
41367430;CANTINHO DA CRIANCA- CRECHE;Urbana;Paraná;ALTONIA
41367448;JESUS MENINO - CRECHE;Urbana;Paraná;ALTONIA
41367456;REGINA CANDIDA DOS SANTOS - CRECHE;Urbana;Paraná;ALTONIA
41367464;PASTOR JOSE BISPO DO NASCIMENTO - CRECHE;Urbana;Paraná;ALTONIA
41367472;CRECHE MENINO DEUS;Urbana;Paraná;IVATE
41367480;CRECHE SANTA TEREZINHA;Urbana;Paraná;IVATE
41367499;CRECHE MUNICIPAL BOM MENINO;Urbana;Paraná;ALTO PIQUIRI
41367502;CRECHE MUNICIPAL OBRA DE SAO JOSE;Urbana;Paraná;ALTO PIQUIRI
41367510;CRECHE MUNICIPAL ISA FERREIRA DIAS;Urbana;Paraná;ALTO PIQUIRI
41367529;CRECHE MUNICIPAL SAO FRANCISCO;Urbana;Paraná;ALTO PIQUIRI
41367545;JOANNA LECHIW THOME E E EF;Rural;Paraná;TURVO
41367553;SERRA DOS DOURADOS CRECHE MUL;Urbana;Paraná;UMUARAMA
41367561;SAO CRISTOVAO CRECHE MUL;Urbana;Paraná;UMUARAMA
41367570;CASA DA CRIANCA CRECHE MUL;Urbana;Paraná;UMUARAMA
41367588;SAO PAULO APOSTOLO CRECHE MUL;Urbana;Paraná;UMUARAMA
41367596;PADRE PAULO SPEISER - CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;ARAPONGAS
41367600;ANJO DA GUARDA CRECHE;Urbana;Paraná;UMUARAMA
41367618;MARIA APARECIDA F WEISS - CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;ARAPONGAS
41367626;MARIA FERNANDES ALHER - CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;ARAPONGAS
41367634;MAFALDA SCOLARI - CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;ARAPONGAS
41367642;LAURIDES PINHEIRO SCHAUSTZ - CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;ARAPONGAS
41367650;JULIA CHIAPPIN - CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;ARAPONGAS
41367669;CEI DOLORES LAZARO MARTINS;Urbana;Paraná;ARAPONGAS
41367685;DOM ROMEU ALBERTI - CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;ARAPONGAS
41367693;INACIA DUTRA DUARTE CRECHE MUL;Urbana;Paraná;UMUARAMA
41367707;PADRE BERNARDO MERCKEL - CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;ARAPONGAS
41367715;PINGO DE GENTE CRECHE MUL;Urbana;Paraná;UMUARAMA
41367723;ANA MACUR - CENTRO DE EDUCACAO INFANTIL;Rural;Paraná;ARAPONGAS
41367731;CLEMENTINA DOS SANTOS SOARES - CENTRO DE EDUCACAO INFANTIL;Urbana;Paraná;ARAPONGAS
41367740;CLINEU ROMERO CERVANTES CRECHE MUL;Urbana;Paraná;UMUARAMA
41367766;MENINO JESUS CRECHE MUL;Urbana;Paraná;UMUARAMA
41367774;CANTINHO DA CRIANCA ASSOC BENEFIC;Urbana;Paraná;UMUARAMA
41367782;CASA DO LEITE CRECHE;Urbana;Paraná;UMUARAMA
41367790;RISOLETA NEVES CRECHE MUL;Urbana;Paraná;UMUARAMA
41367804;MARIA PAVAN CERCI CRECHE MUL;Urbana;Paraná;UMUARAMA
41367812;PEQUENO PRINCIPE CRECHE MUL;Urbana;Paraná;UMUARAMA
41367820;RECANTO DA CRIANCA CRECHE MUL;Urbana;Paraná;UMUARAMA
41367839;CRIANCA FELIZ CRECHE MUL;Urbana;Paraná;UMUARAMA
41367847;SAGRADA FAMILIA CRECHE MUL;Urbana;Paraná;UMUARAMA
41367855;AUREA APARECIDA LOPES E E C EF;Rural;Paraná;INACIO MARTINS
41367863;MEU PEQUENO MUNDO C M E I;Urbana;Paraná;INACIO MARTINS
41367871;MARIA DE JESUS TURRA E M EF;Urbana;Paraná;INACIO MARTINS
41367898;ALLAN KARDEC C E I;Urbana;Paraná;GOIOERE
41367901;SANTA RITA DE CASSIA C M E I;Urbana;Paraná;IPORA
41367910;CRESCER E APRENDER C M E I;Urbana;Paraná;IPORA
41367928;SONHO MEU C M E I;Urbana;Paraná;IPORA
41367936;RECANTO DOS PEQUENINOS C M E I;Urbana;Paraná;IPORA
41367944;SAO FRANCISCO DE ASSIS E M EI EF;Rural;Paraná;CASCAVEL
41367952;MUNDO ENCANTADO C M E I;Urbana;Paraná;CASCAVEL
41367960;GENTE PEQUENA C M E I;Urbana;Paraná;CASCAVEL
41367979;ESPACO E VIDA C M E I;Urbana;Paraná;CASCAVEL
41367987;TIA JURACY C M E I;Urbana;Paraná;CERRO AZUL
41367995;INFANCIA FELIZ C M E I;Urbana;Paraná;CASCAVEL
41368010;JULIO INACIO UNCER CENTRO MUNIC DE EDUC INFANTIL;Urbana;Paraná;CASCAVEL
41368037;LEONARDO CHEVINSKI C M E I;Urbana;Paraná;CASCAVEL
41368045;MARIA DULCE PIZANI BOARETTO CTRO DE EDUC INF;Urbana;Paraná;CASCAVEL
41368053;SOL NASCENTE C M E I;Urbana;Paraná;CASCAVEL
41368061;PASSO PARA A VIDA C M E I;Urbana;Paraná;CASCAVEL
41368070;JARDIM FLORESTA C M E I;Urbana;Paraná;CASCAVEL
41368088;ESTEFANI GALESKI C M E I;Urbana;Paraná;CASCAVEL
41368096;SONHO MEU C M E I;Urbana;Paraná;CASCAVEL
41368100;SONHO DE CRIANCA C M E I;Urbana;Paraná;CASCAVEL
41368118;REINO ENCANTADO C M E I;Urbana;Paraná;CASCAVEL
41368126;DOCE INFANCIA C M E I;Urbana;Paraná;CASCAVEL
41368134;ARCO IRIS C M E I;Urbana;Paraná;CASCAVEL
41368142;ESTRELA DA MANHA C M E I;Urbana;Paraná;CASCAVEL
41368150;RAIO DE LUZ C M E I;Urbana;Paraná;CASCAVEL
41368169;PETER PAN C M E I;Urbana;Paraná;CASCAVEL
41368177;PARAISO DA CRIANCA C M E I;Urbana;Paraná;CASCAVEL
41368185;VICTORIO E ABROZINO C E PROF EF M PROF;Urbana;Paraná;CASCAVEL
41368193;REASSENTAMENTO SAO FCO C E C DO EF M;Rural;Paraná;CASCAVEL
41368207;CRIANCA FELIZ C M E I;Urbana;Paraná;SALGADO FILHO
41368215;RENASCER E EI EF MOD ED ESP;Urbana;Paraná;SALGADO FILHO
41368223;EMILIO MUDREY E EI EF MOD ED ESP;Urbana;Paraná;ANAHY
41368240;NOSSA SENHORA APARECIDA C M E I;Urbana;Paraná;UBIRATA
41368258;NOSSO LAR C M E I;Urbana;Paraná;UBIRATA
41368266;BENEDITO LEUGI C M E I;Urbana;Paraná;APUCARANA
41368274;CONJUNTO BOA VISTA C M E I;Urbana;Paraná;UBIRATA
41368282;ARTE DE CRESCER C M E I;Urbana;Paraná;UBIRATA
41368290;CRIANCA FELIZ CENTRO MUL ED INF;Urbana;Paraná;CAMPO MOURAO
41368304;EDUCARE E EI EF;Urbana;Paraná;CAMPO MOURAO
41368312;MENINO JESUS CENTRO MUL ED INF;Urbana;Paraná;CAMPO MOURAO
41368339;NOSSA SENHORA APARECIDA CENTRO MUL ED INF;Urbana;Paraná;CAMPO MOURAO
41368347;NOSSA SENHORA DE FATIMA CENTRO MUL ED INF;Urbana;Paraná;CAMPO MOURAO
41368355;NOVO HORIZONTE C E EM;Urbana;Paraná;CAMPO MOURAO
41368363;PINGO DE GENTE CENTRO MUL ED INF;Urbana;Paraná;CAMPO MOURAO
41368371;SAGRADA FAMILIA - CENTRO MUL ED INF;Urbana;Paraná;CAMPO MOURAO
41368380;SAO JOSE CENTRO MUL ED INF;Urbana;Paraná;CAMPO MOURAO
41368398;SANTA CRUZ - CENTRO MUL EDUC INF;Urbana;Paraná;CAMPO MOURAO
41368401;CENTRO DE EDUCACAO SANTA RITA - CEDUS;Urbana;Paraná;CAMPO MOURAO
41368410;TANCREDO DE ALMEIDA NEVES CENTRO MUL ED INF;Urbana;Paraná;CAMPO MOURAO
41368436;SANTA BARBARA CRECHE MUNICIPAL;Rural;Paraná;IVAIPORA
41368444;ANA LUIZAO FESTI C M E I;Urbana;Paraná;APUCARANA
41368452;ANTONIO DO CARMO RIBEIRO C M E I;Urbana;Paraná;APUCARANA
41368460;SONHOS DE ESPERANCA C M E I;Urbana;Paraná;APUCARANA
41368479;COSAP C M E I;Urbana;Paraná;APUCARANA
41368487;DOMINGOS MAREZE C M E I;Urbana;Paraná;APUCARANA
41368495;JOSE MARIA CARRILHO E M E FUND;Urbana;Paraná;ITAUNA DO SUL
41368509;DULCE C M E I IRMA;Urbana;Paraná;APUCARANA
